,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT
232,Alkoholunfälle,insgesamt,2005,12,41.0
234,Alkoholunfälle,insgesamt,2004,1,42.0
235,Alkoholunfälle,insgesamt,2004,2,48.0
236,Alkoholunfälle,insgesamt,2004,3,44.0
237,Alkoholunfälle,insgesamt,2004,4,37.0
238,Alkoholunfälle,insgesamt,2004,5,55.0
239,Alkoholunfälle,insgesamt,2004,6,58.0
240,Alkoholunfälle,insgesamt,2004,7,67.0
241,Alkoholunfälle,insgesamt,2004,8,58.0
242,Alkoholunfälle,insgesamt,2004,9,79.0
243,Alkoholunfälle,insgesamt,2004,10,68.0
244,Alkoholunfälle,insgesamt,2004,11,51.0
245,Alkoholunfälle,insgesamt,2004,12,52.0
247,Alkoholunfälle,insgesamt,2003,1,55.0
248,Alkoholunfälle,insgesamt,2003,2,44.0
249,Alkoholunfälle,insgesamt,2003,3,53.0
250,Alkoholunfälle,insgesamt,2003,4,50.0
251,Alkoholunfälle,insgesamt,2003,5,65.0
252,Alkoholunfälle,insgesamt,2003,6,82.0
253,Alkoholunfälle,insgesamt,2003,7,76.0
254,Alkoholunfälle,insgesamt,2003,8,66.0
255,Alkoholunfälle,insgesamt,2003,9,63.0
256,Alkoholunfälle,insgesamt,2003,10,74.0
257,Alkoholunfälle,insgesamt,2003,11,44.0
258,Alkoholunfälle,insgesamt,2003,12,58.0
260,Alkoholunfälle,insgesamt,2002,1,44.0
261,Alkoholunfälle,insgesamt,2002,2,49.0
262,Alkoholunfälle,insgesamt,2002,3,61.0
263,Alkoholunfälle,insgesamt,2002,4,65.0
264,Alkoholunfälle,insgesamt,2002,5,58.0
265,Alkoholunfälle,insgesamt,2002,6,74.0
266,Alkoholunfälle,insgesamt,2002,7,84.0
267,Alkoholunfälle,insgesamt,2002,8,71.0
268,Alkoholunfälle,insgesamt,2002,9,107.0
269,Alkoholunfälle,insgesamt,2002,10,83.0
270,Alkoholunfälle,insgesamt,2002,11,44.0
271,Alkoholunfälle,insgesamt,2002,12,63.0
273,Alkoholunfälle,insgesamt,2001,1,66.0
274,Alkoholunfälle,insgesamt,2001,2,49.0
275,Alkoholunfälle,insgesamt,2001,3,63.0
276,Alkoholunfälle,insgesamt,2001,4,68.0
277,Alkoholunfälle,insgesamt,2001,5,85.0
278,Alkoholunfälle,insgesamt,2001,6,68.0
279,Alkoholunfälle,insgesamt,2001,7,71.0
280,Alkoholunfälle,insgesamt,2001,8,60.0
281,Alkoholunfälle,insgesamt,2001,9,107.0
282,Alkoholunfälle,insgesamt,2001,10,77.0
283,Alkoholunfälle,insgesamt,2001,11,68.0
284,Alkoholunfälle,insgesamt,2001,12,66.0
286,Alkoholunfälle,insgesamt,2000,1,78.0
287,Alkoholunfälle,insgesamt,2000,2,53.0
288,Alkoholunfälle,insgesamt,2000,3,73.0
289,Alkoholunfälle,insgesamt,2000,4,78.0
290,Alkoholunfälle,insgesamt,2000,5,96.0
291,Alkoholunfälle,insgesamt,2000,6,57.0
292,Alkoholunfälle,insgesamt,2000,7,99.0
293,Alkoholunfälle,insgesamt,2000,8,77.0
294,Alkoholunfälle,insgesamt,2000,9,84.0
295,Alkoholunfälle,insgesamt,2000,10,83.0
296,Alkoholunfälle,insgesamt,2000,11,71.0
297,Alkoholunfälle,insgesamt,2000,12,85.0
324,Alkoholunfälle,Verletzte und Getötete,2020,1,11.0
325,Alkoholunfälle,Verletzte und Getötete,2020,2,19.0
326,Alkoholunfälle,Verletzte und Getötete,2020,3,13.0
327,Alkoholunfälle,Verletzte und Getötete,2020,4,15.0
328,Alkoholunfälle,Verletzte und Getötete,2020,5,26.0
329,Alkoholunfälle,Verletzte und Getötete,2020,6,30.0
330,Alkoholunfälle,Verletzte und Getötete,2020,7,43.0
331,Alkoholunfälle,Verletzte und Getötete,2020,8,29.0
332,Alkoholunfälle,Verletzte und Getötete,2020,9,24.0
333,Alkoholunfälle,Verletzte und Getötete,2020,10,20.0
334,Alkoholunfälle,Verletzte und Getötete,2020,11,11.0
335,Alkoholunfälle,Verletzte und Getötete,2020,12,9.0
337,Alkoholunfälle,Verletzte und Getötete,2019,1,7.0
338,Alkoholunfälle,Verletzte und Getötete,2019,2,7.0
339,Alkoholunfälle,Verletzte und Getötete,2019,3,22.0
340,Alkoholunfälle,Verletzte und Getötete,2019,4,18.0
341,Alkoholunfälle,Verletzte und Getötete,2019,5,21.0
342,Alkoholunfälle,Verletzte und Getötete,2019,6,24.0
343,Alkoholunfälle,Verletzte und Getötete,2019,7,34.0
344,Alkoholunfälle,Verletzte und Getötete,2019,8,23.0
345,Alkoholunfälle,Verletzte und Getötete,2019,9,20.0
346,Alkoholunfälle,Verletzte und Getötete,2019,10,20.0
347,Alkoholunfälle,Verletzte und Getötete,2019,11,19.0
348,Alkoholunfälle,Verletzte und Getötete,2019,12,12.0
350,Alkoholunfälle,Verletzte und Getötete,2018,1,8.0
351,Alkoholunfälle,Verletzte und Getötete,2018,2,13.0
352,Alkoholunfälle,Verletzte und Getötete,2018,3,12.0
353,Alkoholunfälle,Verletzte und Getötete,2018,4,8.0
354,Alkoholunfälle,Verletzte und Getötete,2018,5,23.0
355,Alkoholunfälle,Verletzte und Getötete,2018,6,14.0
356,Alkoholunfälle,Verletzte und Getötete,2018,7,29.0
357,Alkoholunfälle,Verletzte und Getötete,2018,8,18.0
358,Alkoholunfälle,Verletzte und Getötete,2018,9,22.0
359,Alkoholunfälle,Verletzte und Getötete,2018,10,16.0
360,Alkoholunfälle,Verletzte und Getötete,2018,11,13.0
361,Alkoholunfälle,Verletzte und Getötete,2018,12,6.0
363,Alkoholunfälle,Verletzte und Getötete,2017,1,4.0
364,Alkoholunfälle,Verletzte und Getötete,2017,2,4.0
365,Alkoholunfälle,Verletzte und Getötete,2017,3,15.0
366,Alkoholunfälle,Verletzte und Getötete,2017,4,10.0
367,Alkoholunfälle,Verletzte und Getötete,2017,5,16.0
368,Alkoholunfälle,Verletzte und Getötete,2017,6,27.0
369,Alkoholunfälle,Verletzte und Getötete,2017,7,18.0
370,Alkoholunfälle,Verletzte und Getötete,2017,8,14.0
371,Alkoholunfälle,Verletzte und Getötete,2017,9,22.0
372,Alkoholunfälle,Verletzte und Getötete,2017,10,16.0
373,Alkoholunfälle,Verletzte und Getötete,2017,11,13.0
374,Alkoholunfälle,Verletzte und Getötete,2017,12,17.0
376,Alkoholunfälle,Verletzte und Getötete,2016,1,6.0
377,Alkoholunfälle,Verletzte und Getötete,2016,2,3.0
378,Alkoholunfälle,Verletzte und Getötete,2016,3,6.0
379,Alkoholunfälle,Verletzte und Getötete,2016,4,8.0
380,Alkoholunfälle,Verletzte und Getötete,2016,5,17.0
381,Alkoholunfälle,Verletzte und Getötete,2016,6,19.0
382,Alkoholunfälle,Verletzte und Getötete,2016,7,23.0
383,Alkoholunfälle,Verletzte und Getötete,2016,8,12.0
384,Alkoholunfälle,Verletzte und Getötete,2016,9,22.0
385,Alkoholunfälle,Verletzte und Getötete,2016,10,11.0
386,Alkoholunfälle,Verletzte und Getötete,2016,11,7.0
387,Alkoholunfälle,Verletzte und Getötete,2016,12,10.0
389,Alkoholunfälle,Verletzte und Getötete,2015,1,21.0
390,Alkoholunfälle,Verletzte und Getötete,2015,2,3.0
391,Alkoholunfälle,Verletzte und Getötete,2015,3,9.0
392,Alkoholunfälle,Verletzte und Getötete,2015,4,23.0
393,Alkoholunfälle,Verletzte und Getötete,2015,5,30.0
394,Alkoholunfälle,Verletzte und Getötete,2015,6,19.0
395,Alkoholunfälle,Verletzte und Getötete,2015,7,37.0
396,Alkoholunfälle,Verletzte und Getötete,2015,8,29.0
397,Alkoholunfälle,Verletzte und Getötete,2015,9,25.0
398,Alkoholunfälle,Verletzte und Getötete,2015,10,12.0
399,Alkoholunfälle,Verletzte und Getötete,2015,11,11.0
400,Alkoholunfälle,Verletzte und Getötete,2015,12,6.0
402,Alkoholunfälle,Verletzte und Getötete,2014,1,4.0
403,Alkoholunfälle,Verletzte und Getötete,2014,2,7.0
404,Alkoholunfälle,Verletzte und Getötete,2014,3,16.0
405,Alkoholunfälle,Verletzte und Getötete,2014,4,15.0
406,Alkoholunfälle,Verletzte und Getötete,2014,5,19.0
407,Alkoholunfälle,Verletzte und Getötete,2014,6,16.0
408,Alkoholunfälle,Verletzte und Getötete,2014,7,21.0
409,Alkoholunfälle,Verletzte und Getötete,2014,8,13.0
410,Alkoholunfälle,Verletzte und Getötete,2014,9,18.0
411,Alkoholunfälle,Verletzte und Getötete,2014,10,21.0
412,Alkoholunfälle,Verletzte und Getötete,2014,11,14.0
413,Alkoholunfälle,Verletzte und Getötete,2014,12,3.0
415,Alkoholunfälle,Verletzte und Getötete,2013,1,2.0
416,Alkoholunfälle,Verletzte und Getötete,2013,2,0.0
417,Alkoholunfälle,Verletzte und Getötete,2013,3,8.0
418,Alkoholunfälle,Verletzte und Getötete,2013,4,5.0
419,Alkoholunfälle,Verletzte und Getötete,2013,5,21.0
420,Alkoholunfälle,Verletzte und Getötete,2013,6,20.0
421,Alkoholunfälle,Verletzte und Getötete,2013,7,24.0
422,Alkoholunfälle,Verletzte und Getötete,2013,8,22.0
423,Alkoholunfälle,Verletzte und Getötete,2013,9,17.0
424,Alkoholunfälle,Verletzte und Getötete,2013,10,12.0
425,Alkoholunfälle,Verletzte und Getötete,2013,11,12.0
426,Alkoholunfälle,Verletzte und Getötete,2013,12,10.0
428,Alkoholunfälle,Verletzte und Getötete,2012,1,11.0
429,Alkoholunfälle,Verletzte und Getötete,2012,2,5.0
430,Alkoholunfälle,Verletzte und Getötete,2012,3,5.0
431,Alkoholunfälle,Verletzte und Getötete,2012,4,22.0
432,Alkoholunfälle,Verletzte und Getötete,2012,5,33.0
433,Alkoholunfälle,Verletzte und Getötete,2012,6,35.0
434,Alkoholunfälle,Verletzte und Getötete,2012,7,30.0
435,Alkoholunfälle,Verletzte und Getötete,2012,8,31.0
436,Alkoholunfälle,Verletzte und Getötete,2012,9,24.0
437,Alkoholunfälle,Verletzte und Getötete,2012,10,6.0
438,Alkoholunfälle,Verletzte und Getötete,2012,11,10.0
439,Alkoholunfälle,Verletzte und Getötete,2012,12,11.0
441,Alkoholunfälle,Verletzte und Getötete,2011,1,16.0
442,Alkoholunfälle,Verletzte und Getötete,2011,2,7.0
443,Alkoholunfälle,Verletzte und Getötete,2011,3,9.0
444,Alkoholunfälle,Verletzte und Getötete,2011,4,27.0
445,Alkoholunfälle,Verletzte und Getötete,2011,5,20.0
446,Alkoholunfälle,Verletzte und Getötete,2011,6,21.0
447,Alkoholunfälle,Verletzte und Getötete,2011,7,27.0
448,Alkoholunfälle,Verletzte und Getötete,2011,8,17.0
449,Alkoholunfälle,Verletzte und Getötete,2011,9,22.0
450,Alkoholunfälle,Verletzte und Getötete,2011,10,10.0
451,Alkoholunfälle,Verletzte und Getötete,2011,11,16.0
452,Alkoholunfälle,Verletzte und Getötete,2011,12,6.0
454,Alkoholunfälle,Verletzte und Getötete,2010,1,7.0
455,Alkoholunfälle,Verletzte und Getötete,2010,2,10.0
456,Alkoholunfälle,Verletzte und Getötete,2010,3,12.0
457,Alkoholunfälle,Verletzte und Getötete,2010,4,25.0
458,Alkoholunfälle,Verletzte und Getötete,2010,5,15.0
459,Alkoholunfälle,Verletzte und Getötete,2010,6,20.0
460,Alkoholunfälle,Verletzte und Getötete,2010,7,29.0
461,Alkoholunfälle,Verletzte und Getötete,2010,8,25.0
462,Alkoholunfälle,Verletzte und Getötete,2010,9,26.0
463,Alkoholunfälle,Verletzte und Getötete,2010,10,13.0
464,Alkoholunfälle,Verletzte und Getötete,2010,11,7.0
465,Alkoholunfälle,Verletzte und Getötete,2010,12,12.0
467,Alkoholunfälle,Verletzte und Getötete,2009,1,7.0
468,Alkoholunfälle,Verletzte und Getötete,2009,2,12.0
469,Alkoholunfälle,Verletzte und Getötete,2009,3,5.0
470,Alkoholunfälle,Verletzte und Getötete,2009,4,31.0
471,Alkoholunfälle,Verletzte und Getötete,2009,5,34.0
472,Alkoholunfälle,Verletzte und Getötete,2009,6,19.0
473,Alkoholunfälle,Verletzte und Getötete,2009,7,27.0
474,Alkoholunfälle,Verletzte und Getötete,2009,8,26.0
475,Alkoholunfälle,Verletzte und Getötete,2009,9,18.0
476,Alkoholunfälle,Verletzte und Getötete,2009,10,15.0
477,Alkoholunfälle,Verletzte und Getötete,2009,11,5.0
478,Alkoholunfälle,Verletzte und Getötete,2009,12,14.0
480,Alkoholunfälle,Verletzte und Getötete,2008,1,8.0
481,Alkoholunfälle,Verletzte und Getötete,2008,2,16.0
482,Alkoholunfälle,Verletzte und Getötete,2008,3,9.0
483,Alkoholunfälle,Verletzte und Getötete,2008,4,10.0
484,Alkoholunfälle,Verletzte und Getötete,2008,5,37.0
485,Alkoholunfälle,Verletzte und Getötete,2008,6,32.0
486,Alkoholunfälle,Verletzte und Getötete,2008,7,24.0
487,Alkoholunfälle,Verletzte und Getötete,2008,8,23.0
488,Alkoholunfälle,Verletzte und Getötete,2008,9,28.0
489,Alkoholunfälle,Verletzte und Getötete,2008,10,19.0
490,Alkoholunfälle,Verletzte und Getötete,2008,11,14.0
491,Alkoholunfälle,Verletzte und Getötete,2008,12,20.0
493,Alkoholunfälle,Verletzte und Getötete,2007,1,13.0
494,Alkoholunfälle,Verletzte und Getötete,2007,2,15.0
495,Alkoholunfälle,Verletzte und Getötete,2007,3,14.0
496,Alkoholunfälle,Verletzte und Getötete,2007,4,27.0
497,Alkoholunfälle,Verletzte und Getötete,2007,5,39.0
498,Alkoholunfälle,Verletzte und Getötete,2007,6,27.0
499,Alkoholunfälle,Verletzte und Getötete,2007,7,38.0
500,Alkoholunfälle,Verletzte und Getötete,2007,8,20.0
501,Alkoholunfälle,Verletzte und Getötete,2007,9,24.0
502,Alkoholunfälle,Verletzte und Getötete,2007,10,18.0
503,Alkoholunfälle,Verletzte und Getötete,2007,11,26.0
504,Alkoholunfälle,Verletzte und Getötete,2007,12,20.0
506,Alkoholunfälle,Verletzte und Getötete,2006,1,21.0
507,Alkoholunfälle,Verletzte und Getötete,2006,2,21.0
508,Alkoholunfälle,Verletzte und Getötete,2006,3,14.0
509,Alkoholunfälle,Verletzte und Getötete,2006,4,16.0
510,Alkoholunfälle,Verletzte und Getötete,2006,5,28.0
511,Alkoholunfälle,Verletzte und Getötete,2006,6,22.0
512,Alkoholunfälle,Verletzte und Getötete,2006,7,37.0
513,Alkoholunfälle,Verletzte und Getötete,2006,8,25.0
514,Alkoholunfälle,Verletzte und Getötete,2006,9,35.0
515,Alkoholunfälle,Verletzte und Getötete,2006,10,24.0
516,Alkoholunfälle,Verletzte und Getötete,2006,11,22.0
517,Alkoholunfälle,Verletzte und Getötete,2006,12,21.0
519,Alkoholunfälle,Verletzte und Getötete,2005,1,13.0
520,Alkoholunfälle,Verletzte und Getötete,2005,2,14.0
521,Alkoholunfälle,Verletzte und Getötete,2005,3,13.0
522,Alkoholunfälle,Verletzte und Getötete,2005,4,19.0
523,Alkoholunfälle,Verletzte und Getötete,2005,5,21.0
524,Alkoholunfälle,Verletzte und Getötete,2005,6,31.0
525,Alkoholunfälle,Verletzte und Getötete,2005,7,26.0
526,Alkoholunfälle,Verletzte und Getötete,2005,8,33.0
527,Alkoholunfälle,Verletzte und Getötete,2005,9,50.0
528,Alkoholunfälle,Verletzte und Getötete,2005,10,35.0
529,Alkoholunfälle,Verletzte und Getötete,2005,11,14.0
530,Alkoholunfälle,Verletzte und Getötete,2005,12,12.0
532,Alkoholunfälle,Verletzte und Getötete,2004,1,10.0
533,Alkoholunfälle,Verletzte und Getötete,2004,2,21.0
534,Alkoholunfälle,Verletzte und Getötete,2004,3,18.0
535,Alkoholunfälle,Verletzte und Getötete,2004,4,10.0
536,Alkoholunfälle,Verletzte und Getötete,2004,5,30.0
537,Alkoholunfälle,Verletzte und Getötete,2004,6,25.0
538,Alkoholunfälle,Verletzte und Getötete,2004,7,44.0
539,Alkoholunfälle,Verletzte und Getötete,2004,8,47.0
540,Alkoholunfälle,Verletzte und Getötete,2004,9,41.0
541,Alkoholunfälle,Verletzte und Getötete,2004,10,26.0
542,Alkoholunfälle,Verletzte und Getötete,2004,11,20.0
543,Alkoholunfälle,Verletzte und Getötete,2004,12,12.0
545,Alkoholunfälle,Verletzte und Getötete,2003,1,18.0
546,Alkoholunfälle,Verletzte und Getötete,2003,2,16.0
547,Alkoholunfälle,Verletzte und Getötete,2003,3,17.0
548,Alkoholunfälle,Verletzte und Getötete,2003,4,25.0
549,Alkoholunfälle,Verletzte und Getötete,2003,5,26.0
550,Alkoholunfälle,Verletzte und Getötete,2003,6,41.0
551,Alkoholunfälle,Verletzte und Getötete,2003,7,35.0
552,Alkoholunfälle,Verletzte und Getötete,2003,8,40.0
553,Alkoholunfälle,Verletzte und Getötete,2003,9,26.0
554,Alkoholunfälle,Verletzte und Getötete,2003,10,17.0
555,Alkoholunfälle,Verletzte und Getötete,2003,11,31.0
556,Alkoholunfälle,Verletzte und Getötete,2003,12,27.0
558,Alkoholunfälle,Verletzte und Getötete,2002,1,24.0
559,Alkoholunfälle,Verletzte und Getötete,2002,2,22.0
560,Alkoholunfälle,Verletzte und Getötete,2002,3,21.0
561,Alkoholunfälle,Verletzte und Getötete,2002,4,28.0
562,Alkoholunfälle,Verletzte und Getötete,2002,5,32.0
563,Alkoholunfälle,Verletzte und Getötete,2002,6,42.0
