Date,Alkoholunfälle and insgesamt,Alkoholunfälle and Verletzte und Getötete,Fluchtunfälle and insgesamt,Fluchtunfälle and Verletzte und Getötete,Verkehrsunfälle and insgesamt,Verkehrsunfälle and mit Personenschäden,Verkehrsunfälle and Verletzte und Getötete
2018-10,43.0,16.0,1127.0,60.0,4468.0,529.0,616.0
2018-11,31.0,13.0,929.0,37.0,4027.0,407.0,485.0
2018-12,21.0,6.0,900.0,37.0,3550.0,282.0,348.0
2019-01,22.0,7.0,927.0,32.0,3440.0,243.0,297.0
2019-02,28.0,7.0,883.0,26.0,3442.0,289.0,345.0
2019-03,34.0,22.0,1005.0,44.0,3940.0,369.0,427.0
2019-04,36.0,18.0,967.0,35.0,3781.0,426.0,515.0
2019-05,39.0,21.0,1014.0,41.0,4046.0,416.0,484.0
2019-06,40.0,24.0,994.0,61.0,3727.0,615.0,710.0
2019-07,48.0,34.0,1187.0,81.0,4763.0,762.0,898.0
2019-08,31.0,23.0,820.0,37.0,3214.0,451.0,532.0
2019-09,47.0,20.0,996.0,55.0,4042.0,533.0,609.0
2019-10,45.0,20.0,1088.0,45.0,4348.0,500.0,591.0
2019-11,29.0,19.0,967.0,41.0,3805.0,383.0,453.0
2019-12,35.0,12.0,925.0,43.0,3462.0,326.0,378.0
2020-01,28.0,11.0,791.0,28.0,3139.0,301.0,360.0
2020-02,40.0,19.0,870.0,34.0,3271.0,306.0,355.0
2020-03,27.0,13.0,744.0,33.0,2825.0,270.0,334.0
2020-04,26.0,15.0,607.0,34.0,2251.0,314.0,363.0
2020-05,40.0,26.0,859.0,34.0,3193.0,416.0,464.0
2020-06,49.0,30.0,905.0,49.0,3380.0,496.0,585.0
2020-07,58.0,43.0,1010.0,58.0,4031.0,717.0,821.0
2020-08,46.0,29.0,735.0,36.0,3007.0,487.0,563.0
2020-09,46.0,24.0,948.0,49.0,3659.0,555.0,634.0
2020-10,34.0,20.0,997.0,50.0,3867.0,489.0,566.0
2020-11,23.0,11.0,864.0,27.0,3150.0,297.0,348.0
2020-12,13.0,9.0,694.0,33.0,2661.0,270.0,311.0
